"Actinobacteriota","Gemmatimonadota","Proteobacteria","Myxococcota","Nitrospirota","Chloroflexi","Acidobacteriota","Firmicutes","Verrucomicrobiota","Bacteroidota","Bdellovibrionota","Planctomycetota","Patescibacteria","Cyanobacteria","Methylomirabilota","Elusimicrobiota","Latescibacterota","Armatimonadota","Dependentiae","RCP2.54","Fibrobacterota","Desulfobacterota","SAR324.clade.Marine.group.B.","FCPU426","WS2","WPS.2","Deinococcota","NB1.j","Spirochaetota","Sumerlaeota","MBNT15","Abditibacteriota","Zixibacteria","Nanoarchaeota","GAL15","Entotheonellaeota","Hydrogenedentes","Thermoplasmatota","response"
2606,289,1998,267,306,1391,1277,387,587,389,12,34,57,4,328,13,117,0,0,14,0,16,2,0,0,0,0,10,2,0,0,0,6,0,0,0,0,0,1
3060,498,2456,368,452,1697,1479,423,721,666,16,120,134,7,297,24,109,8,8,12,2,63,0,0,0,0,0,0,0,6,0,0,2,0,9,0,4,0,1
3321,299,3203,777,159,929,1584,747,1562,1132,82,78,212,46,60,23,31,18,17,6,27,0,2,9,0,0,0,0,0,3,8,0,0,0,0,14,0,0,0
3336,395,3179,531,188,1360,1994,858,2015,767,20,139,138,19,160,33,56,10,4,20,0,35,0,23,11,0,0,6,6,0,0,0,0,0,0,0,0,6,1
2526,584,2901,549,126,1291,1799,346,1642,516,9,60,38,50,81,0,43,42,7,6,20,15,2,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4154,1275,4410,440,169,1716,2515,677,419,886,11,29,216,37,42,12,40,17,4,0,0,0,0,0,0,8,19,0,0,5,0,0,0,0,0,0,0,0,1
6169,892,3139,393,151,979,1436,520,216,914,32,106,566,5,19,0,33,20,5,6,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1
2394,1028,1477,182,66,887,1537,394,288,93,23,84,46,8,39,9,74,7,3,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3384,1025,3557,562,159,2127,3010,812,470,957,6,66,123,28,53,18,115,17,3,10,10,28,4,8,3,12,6,0,0,0,0,0,0,0,0,0,0,0,0
2144,801,2484,313,153,1498,1826,414,329,603,30,66,164,8,41,6,54,33,11,9,0,18,0,0,5,5,0,0,0,3,0,0,0,0,0,0,0,0,1
1640,625,1317,294,199,872,1183,393,245,335,48,39,46,20,30,0,33,17,0,0,0,28,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3331,1122,3147,616,233,2293,2851,547,381,609,10,69,46,18,80,19,78,5,16,4,0,21,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1
906,243,88,37,12,17,317,31,26,2,2,7,0,0,28,0,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6351,1401,6184,962,205,4278,4376,672,926,1715,30,156,122,35,83,21,131,36,2,21,8,25,0,0,13,0,2,0,0,2,0,0,0,0,0,0,0,0,1
7812,1201,10177,1109,84,3292,5153,1060,3194,1770,52,170,345,239,77,30,65,15,27,61,15,45,0,24,17,92,6,0,0,7,3,0,0,0,0,0,0,0,1
5965,1024,8561,728,148,2228,3639,1097,2258,1153,85,106,98,109,0,19,79,76,18,44,6,12,0,16,6,40,4,0,6,2,0,0,0,4,0,0,3,0,0
8716,1214,10942,959,131,3192,5674,1584,3492,1644,112,121,228,306,67,49,25,83,37,53,0,3,3,13,16,88,6,0,2,7,0,0,0,0,2,8,2,0,1
8507,1282,8949,1120,155,2790,5140,1166,2473,1472,171,109,286,27,76,60,26,67,26,23,33,30,4,68,7,57,0,0,6,0,0,0,0,0,0,0,0,3,1
10969,1328,9755,1343,284,3990,5563,1601,3551,1453,127,181,252,36,143,83,97,50,18,54,21,39,3,98,6,8,0,0,0,0,0,0,0,0,0,0,2,5,1
7695,752,6729,927,342,2754,2926,954,2080,1714,288,97,324,25,257,12,129,15,19,13,53,44,3,136,5,0,0,26,2,2,0,0,20,0,0,17,3,5,1
7948,2198,8802,1389,109,7172,7588,1536,1491,1560,154,250,325,288,0,122,14,247,0,39,11,3,0,206,0,409,4,0,0,0,0,0,0,0,0,0,0,0,1
9749,2216,11555,1897,177,7481,7800,1135,1569,2422,195,255,445,310,0,66,21,178,13,37,25,8,0,105,11,482,5,0,0,0,0,3,0,0,0,0,0,0,1
6262,1728,6733,988,176,4147,5103,1095,1206,1167,116,210,150,145,54,45,47,68,10,25,4,17,11,36,0,42,0,0,0,2,0,2,0,0,0,0,0,0,1
5600,1309,4742,883,405,2574,2891,2426,456,993,77,54,85,20,58,13,86,22,18,27,10,56,0,29,8,0,2,2,0,0,0,0,0,0,2,4,0,0,0
5067,1042,7172,1580,361,3119,2794,1583,772,1791,180,87,425,41,65,29,57,32,42,33,46,32,4,36,14,4,0,9,0,2,0,2,3,0,0,5,0,0,1
4662,722,6090,1064,272,2320,2189,2278,526,1443,153,50,176,10,46,21,35,11,32,32,195,57,3,61,4,0,0,10,29,3,0,0,0,0,0,6,0,0,1
2985,386,3966,563,243,3229,1806,279,637,1300,72,110,303,137,312,11,47,0,6,49,49,93,4,5,4,3,0,92,25,0,46,0,5,0,6,3,0,0,1
5378,670,7289,1208,339,5271,3489,554,1077,2359,156,170,402,223,285,23,183,13,15,67,119,248,9,7,7,5,2,174,34,2,101,0,8,0,13,0,0,0,1
5233,684,6902,1116,356,5472,3202,634,1211,2285,118,270,672,125,432,65,160,3,5,73,128,274,8,20,18,5,0,140,42,0,75,0,7,2,0,0,0,4,1
4755,1124,5609,867,240,2966,2199,3505,768,1805,132,112,246,46,27,18,60,14,14,0,0,7,2,11,26,0,5,0,3,0,0,4,0,0,0,7,0,0,1
7737,1472,8365,1209,324,3590,4419,3513,2780,1771,111,70,205,57,249,50,53,57,12,39,5,47,0,117,15,12,4,0,2,0,0,0,0,0,14,0,0,5,0
6269,1561,7577,1198,448,3722,4255,2760,841,1469,106,90,159,57,146,27,109,30,36,3,27,80,0,47,7,12,2,28,0,2,17,2,0,0,0,8,0,3,1
6807,1613,8250,1367,442,3919,4421,2771,1006,2258,70,112,204,54,95,28,80,43,13,19,18,55,3,58,16,0,0,4,0,6,14,0,0,0,0,0,0,0,1
5359,1283,7039,933,448,3292,3420,2004,434,1202,67,32,213,63,103,32,59,8,18,57,55,94,4,25,4,0,9,33,2,0,0,5,0,0,0,0,4,0,0
5947,1552,7693,1255,445,3355,3828,3913,760,1844,147,137,215,43,111,45,85,42,13,14,206,35,0,46,2,0,8,21,4,3,0,0,3,0,0,3,0,0,0
5208,1247,5614,1098,286,2310,2928,3034,481,920,41,90,119,0,89,5,54,35,14,8,50,58,3,58,0,0,6,21,2,5,0,0,0,0,0,0,0,10,0
6944,1497,8430,2430,263,3315,3200,3102,1158,2200,324,155,202,982,84,41,32,17,9,0,27,75,7,96,0,0,4,6,5,36,0,0,0,0,0,0,0,0,1
2005,269,1234,68,91,273,93,939,9,12,12,3,6,6,15,0,0,0,0,10,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5209,788,8471,1413,271,2704,1803,3655,1078,3383,100,140,308,38,57,11,24,8,14,15,838,8,4,9,4,0,0,0,23,9,0,0,0,0,0,0,0,0,1
4556,1080,7409,756,208,2577,2641,3831,898,1785,219,139,235,57,58,4,127,10,0,0,175,7,5,12,0,0,7,4,5,0,0,2,0,2,0,0,2,0,1
5994,1530,7067,902,509,4609,3626,2025,810,1555,165,136,238,24,172,25,89,26,7,54,3,109,5,117,9,0,6,67,5,2,0,2,0,4,0,6,0,0,1
6084,1611,7346,1000,327,4019,3445,2180,815,1480,156,187,220,23,175,34,91,16,18,34,7,11,3,43,11,0,0,12,13,0,0,0,5,0,0,5,0,0,1
6560,1375,7838,940,502,4343,3683,2094,735,1537,207,109,327,42,143,15,120,29,32,37,25,39,15,46,14,0,0,29,2,3,6,3,0,3,0,3,2,0,1
4885,1217,5486,867,234,2178,2730,2060,585,1046,41,35,64,23,105,25,40,0,10,22,12,28,2,130,7,3,0,5,4,0,12,0,0,0,0,0,0,0,1
7862,1356,7698,952,462,3050,3198,2040,852,1382,40,22,186,35,145,39,42,35,23,12,26,19,5,127,4,0,3,0,0,0,0,0,0,0,0,12,0,0,1
7090,1197,6736,1080,253,2446,2821,1758,717,985,133,80,122,49,185,23,64,23,7,52,30,50,0,25,7,5,2,0,0,0,0,0,0,0,0,0,0,4,1
5883,1428,6293,791,368,2872,3233,2155,554,811,40,115,116,22,97,22,52,35,6,10,7,31,12,74,0,0,4,3,0,2,0,0,0,2,0,0,0,0,1
4271,1289,6617,910,212,2570,2947,2541,563,1177,91,37,133,11,51,55,78,32,8,6,63,11,0,57,6,20,0,0,9,0,0,0,0,0,0,0,0,0,1
6324,1707,8405,1143,488,3410,4086,2773,745,1439,123,104,364,37,178,3,70,27,30,31,28,48,13,78,9,7,0,0,5,9,0,2,0,0,0,0,0,0,1
4542,552,6540,872,458,4959,2839,484,1027,2264,123,175,466,629,354,34,121,4,5,56,85,258,0,8,16,0,0,122,45,2,93,0,0,12,6,9,3,2,1
5864,769,7533,1134,413,5545,3394,510,1016,2443,103,145,415,171,418,53,105,9,5,112,122,238,3,7,19,0,3,151,32,0,118,0,9,0,0,0,0,0,1
5909,780,7539,1239,484,5871,3272,521,1109,2689,101,135,519,241,421,48,118,5,10,116,209,301,4,8,14,0,0,179,55,6,127,0,27,11,12,0,0,0,1
4898,579,6263,707,331,4838,2808,431,829,1877,86,166,390,92,394,20,147,4,0,122,46,265,4,5,13,2,0,158,20,0,76,0,2,6,6,11,0,0,1
7153,3954,3453,99,104,9290,1881,34,32,41,10,177,15,0,609,0,0,0,0,18,9,19,0,0,3,0,0,21,0,0,0,0,0,6,8,0,0,0,1
4424,511,4943,756,244,3847,2401,737,845,1851,55,153,313,135,222,20,74,7,4,36,44,173,0,4,13,0,0,26,18,3,71,0,6,0,0,0,0,2,1
4009,470,4063,557,199,3231,1941,485,657,1430,40,141,225,227,168,0,61,3,4,25,123,150,6,11,14,0,0,67,10,3,53,0,0,2,0,0,0,0,1
5716,867,5878,992,375,5153,2866,953,944,1978,111,139,390,254,361,37,94,9,4,53,74,261,3,10,3,3,0,76,28,3,103,0,4,8,0,0,0,0,1
5873,726,5853,1138,285,4964,2837,644,998,2031,85,144,358,139,389,29,93,7,8,37,89,163,4,9,10,0,0,51,18,0,75,0,14,15,0,0,0,0,1
4080,385,4045,759,201,3398,2094,242,419,1393,79,106,312,76,212,24,78,8,2,64,76,120,2,0,14,0,0,70,22,0,62,0,15,2,8,6,0,0,0
